Nome,CPF,Data de Nascimento,Idade,Rua,Numero,Bairro,Cidade,CEP,Telefone Celular
Leandro Pires,142.935.670-70,18/07/1964,59,Parque Jesus,13,Vila Paris,Santos,03291-363,+55 (041) 3116-6823
Elisa Farias,143.852.679-28,22/02/1944,79,Campo Farias,78,Dom Bosco,Nunes,49909660,+55 51 3741 7081
Marina Peixoto,145.763.028-17,06/08/1968,55,Vila Sophia da Luz,75,Jardim Dos Comerciarios,Carvalho de Rodrigues,78033-656,(084) 4710-2621
Ana Laura da Conceição,146.275.809-67,16/10/1988,35,Conjunto Gonçalves,1,Suzana,Dias,10385198,0800 870 2522
Arthur Pires,150.264.983-70,13/06/2005,18,Quadra de Pereira,93,Bonfim,Cardoso de da Mota,22168658,71 6904 6059
Fernando Ribeiro,150.937.846-48,17/12/1988,35,Largo Julia Silva,13,Cabana Do Pai Tomás,da Mata,7044448,0800 433 0501
Ana Julia Freitas,152.734.968-37,06/01/1996,27,Esplanada Mendes,26,Bairro Das Indústrias Ii,Dias,92819-985,+55 21 2376 0837
Valentina Vieira,156.984.327-91,15/04/1959,64,Setor Pereira,265,Vila Jardim Alvorada,Mendes da Serra,21156-869,+55 21 9509 6819
Sr. Diego Castro,157.496.802-58,03/01/1959,64,Quadra Pedro Miguel Rocha,94,Vila São Gabriel Jacui,Ramos de Goiás,52457013,+55 (071) 8924-8662
Helena da Costa,158.743.629-91,17/11/1946,77,Lagoa da Paz,753,Marieta 3ª Seção,Cavalcanti,93609101,+55 21 4236 0127
Maria Cecília Dias,159.742.368-82,03/03/1969,54,Pátio Sophie Viana,43,Vila Jardim Alvorada,Martins,58911399,(031) 6343-2030
Alana Pires,163.024.978-50,28/11/1962,61,Campo de Silveira,11,Castelo,Rocha da Prata,55347015,(031) 1191 3309
Levi Nunes,164.203.978-04,29/05/2003,20,Favela de Santos,63,Grota,Vieira da Mata,08774-187,0800 651 8377
Sophia Nascimento,164.239.570-61,15/11/1973,50,Vila Kevin Pinto,99,São Paulo,Aragão Alegre,84313060,+55 71 0504 1520
Eloah Campos,168.745.392-64,18/07/1978,45,Vale Maysa Cavalcanti,788,Vila Cloris,Barros,97464-986,+55 (031) 1902 6207
Rebeca da Paz,169.420.875-30,21/12/1971,52,Lago de da Costa,59,Pilar,das Neves,31739-044,(021) 4374-7581
Juan Porto,169.473.802-78,09/04/1953,70,Colônia Almeida,72,Estrela,das Neves do Campo,82371441,84 8222-7174
Marcelo Aragão,172.856.094-20,13/07/1962,61,Trecho de Oliveira,79,São Jorge 2ª Seção,Jesus,65725-621,84 8631 9303
Dra. Maria Luiza da Luz,173.450.689-00,06/04/1976,47,Colônia Aragão,2,São Pedro,Martins,77485475,(051) 1754 7052
Thiago Martins,174.826.359-55,09/09/1970,53,Travessa da Costa,2,Vila Das Oliveiras,Moreira,40635-327,0300 042 7655
Helena Peixoto,175.048.362-90,13/01/1956,67,Quadra Anthony Costa,7,Lourdes,Rezende do Galho,10024932,(011) 4285-0175
Ana Sophia Farias,175.296.308-30,08/11/2000,23,Vereda Vieira,26,Vila Barragem Santa Lúcia,Duarte de Goiás,3589371,0300 302 3825
Dr. Luigi Barros,175.329.064-34,13/09/1948,75,Distrito de Oliveira,11,Jonas Veiga,da Mata,67079-701,(081) 3505 1050
Lorenzo Correia,175.860.932-02,09/02/1968,55,Lago de Cardoso,32,Biquinhas,Cardoso,33579684,+55 (051) 0437-9876
Otávio Rezende,182.605.437-53,11/01/1983,40,Estação de da Mata,88,Graça,da Mota,19277-752,(071) 7582 6852
Larissa Cavalcanti,183.564.907-66,02/10/1947,76,Ladeira das Neves,31,Vila Piratininga,da Mata,26505780,(081) 3490 9697
Sr. Bruno Jesus,185.372.096-86,20/07/1988,35,Vila de da Luz,17,São Jorge 2ª Seção,Duarte,78989786,+55 (011) 7973-7942
Calebe da Paz,192.605.473-34,25/07/1959,64,Morro Viana,4,Goiania,Cardoso,43993979,(041) 1850 6924
Isaac Moura,193.657.082-30,04/09/2003,20,Lagoa Nascimento,85,Dom Silverio,Nascimento de Araújo,33209259,81 9505 6106
Matheus Rezende,197.560.384-20,08/12/2001,22,Vereda da Mata,15,Nova Granada,Oliveira Alegre,14370-080,+55 21 9045-5826
João Nascimento,204.751.863-62,19/01/1977,46,Praça de Mendes,7,Jardim Felicidade,Porto,29124-731,+55 (084) 6978 4056
Yago Novaes,207.814.653-62,10/04/1969,54,Ladeira de da Rocha,44,Vila Nossa Senhora Do Rosário,Lima de Correia,80193485,(084) 1468 7484
Yuri Lopes,207.943.681-31,21/12/1988,35,Loteamento da Rocha,96,Vila Madre Gertrudes 3ª Seção,da Cunha de Gonçalves,36986294,(021) 1147-1395
Bruno Barbosa,217.809.634-40,13/03/1973,50,Residencial Manuela Souza,86,Monte São José,Alves,82379409,(081) 8033 2790
Luana Nascimento,218.354.069-98,18/07/1980,43,Travessa Ramos,76,Penha,Lopes de da Costa,20036-979,(011) 1248 5926
Pedro Henrique Souza,219.086.753-30,28/10/2004,19,Favela de Nunes,39,Vila Maria,da Cruz,76454116,+55 31 8236-9785
Calebe Melo,231.850.749-04,02/09/1953,70,Recanto Davi Lucas Jesus,122,Fernão Dias,Cunha do Oeste,57631072,(061) 3804 3783
Nicole Cunha,234.168.957-46,17/10/1976,47,Alameda de Nogueira,3,São Jorge 1ª Seção,Dias,70035-900,+55 (021) 4543-7228
Danilo Fernandes,235.694.781-73,05/07/1998,25,Estrada Nogueira,96,Ribeiro De Abreu,da Conceição,44805617,81 4858-3166
Luiz Gustavo da Mota,235.709.684-56,07/09/1969,54,Vereda de da Cruz,81,Vitoria,Caldeira,29880262,(081) 5772 6555
João Pedro Moura,237.186.945-73,04/02/2003,20,Rodovia de Silva,196,Xodo-Marize,Jesus Alegre,28378798,+55 84 7970-8333
Dra. Mariane Cardoso,239.485.617-37,01/07/1987,36,Praça de Freitas,3,Vila Piratininga,Mendes,30237-448,+55 (041) 1924-6816
Júlia Azevedo,241.365.709-61,17/01/2003,20,Estrada de Rodrigues,873,São Salvador,Carvalho,99160564,0800-809-6119
Kaique da Rocha,241.703.865-07,21/05/1949,74,Alameda Manuela Viana,99,Custodinha,Souza,84435-625,81 8442 4245
Olivia Lima,243.916.580-89,30/01/1988,35,Recanto de da Mata,61,Providencia,Costela da Praia,539091,0500 455 3515
Evelyn das Neves,245.038.691-24,15/04/1965,58,Via de Barros,884,Dona Clara,Aragão,08186-647,+55 11 6178-1689
Luigi Nunes,246.805.973-56,21/01/1965,58,Recanto Yago Nogueira,43,Jardim Felicidade,das Neves do Amparo,82770260,(011) 3666 4068
Sr. Luiz Fernando Correia,249.317.806-87,05/10/1951,72,Pátio Eduardo Fogaça,27,Boa Viagem,Teixeira,32708921,41 1609-6462
Alice Mendes,249.651.783-19,24/12/1945,78,Parque Maria Fernanda Moraes,21,Grotinha,da Paz das Pedras,4071608,+55 11 6788 1407
Bernardo Barros,256.370.891-59,27/06/1950,73,Chácara Sales,557,Mala E Cuia,da Cunha,06363-179,+55 (084) 0623 1681
Diogo da Rosa,258.690.734-56,29/05/2004,19,Avenida Laura Almeida,3,Floresta,Fogaça de da Paz,16771-599,+55 41 2932 4783
Marcos Vinicius Nascimento,258.694.310-42,05/09/1966,57,Jardim Natália Santos,712,Vila Independencia 1ª Seção,da Luz,2284289,0300 028 1252
Giovanna Novaes,264.178.903-50,20/04/1964,59,Núcleo de Porto,9,Monte Azul,da Costa,82661-050,0900-769-7912
Ana Laura Nascimento,268.015.473-80,14/07/1987,36,Aeroporto de da Luz,170,Vila Jardim Leblon,Caldeira,20385-301,+55 (011) 1339-1063
Enzo Martins,269.041.378-78,05/07/2005,18,Distrito de da Rosa,88,Jardim Do Vale,Carvalho Verde,34249-698,+55 (061) 3442 3246
Dra. Mariane Souza,273.906.815-86,12/09/1993,30,Passarela Teixeira,2,Grotinha,da Cunha,66675734,+55 61 2149 0567
Catarina Cardoso,274.960.853-83,11/12/1965,58,Largo de Almeida,68,Vila Minaslandia,Jesus do Sul,67568094,+55 61 6574 1629
Eduardo Nunes,276.139.540-99,20/06/1959,64,Loteamento Cauã Costa,16,Pousada Santo Antonio,Costa,95002701,(051) 4512-8284
Ana Laura Ramos,276.819.305-40,02/12/1944,79,Setor Fernandes,12,Vila Novo São Lucas,Silva Grande,85705488,+55 41 5496 3766
Sra. Sophie Martins,279.851.304-97,20/06/2005,18,Lagoa de Duarte,1,Maria Helena,Rocha da Praia,22038-255,31 1893 5439
Dr. Marcelo Moreira,280.954.173-60,14/04/1995,28,Morro Fogaça,576,Boa Vista,Vieira,31978-107,+55 41 6196 0774
Luiz Henrique Azevedo,285.140.936-06,23/05/1946,77,Viela da Luz,972,Vila Nova Dos Milionarios,da Luz do Amparo,5091653,+55 81 1465-9909
Renan Barbosa,285.691.740-20,11/05/1993,30,Rua Ana Lívia Ramos,15,Vila Petropolis,da Conceição,88818-405,0800 747 3093
Lara Alves,286.057.394-10,13/07/1973,50,Feira Fogaça,90,Belvedere,Gonçalves Alegre,84643269,+55 (021) 8908-7319
Erick Fernandes,286.419.375-28,22/05/1981,42,Viaduto Pereira,42,Vila Santa Monica 1ª Seção,Freitas das Flores,43477-522,+55 31 0675-8942
Laura Freitas,286.503.479-83,06/02/1995,28,Viela Elisa Monteiro,13,Santa Terezinha,Santos,80263-057,0900-101-1610
Rodrigo Barros,286.730.914-03,14/10/1997,26,Colônia Barbosa,36,Vila Paraíso,Costela Verde,33910-352,(021) 3145-7857
Nicolas Farias,287.396.054-00,24/09/1998,25,Passarela de Moura,747,Serra,Barros,48040232,+55 (084) 6960-1842
Maria Carvalho,289.145.670-01,12/04/1960,63,Trecho Pereira,46,Vila Primeiro De Maio,Caldeira,04608-823,+55 (071) 7410-1335
Calebe Fernandes,290.417.563-61,28/12/1946,77,Lago de das Neves,66,Serrano,Monteiro,30883-232,(031) 1260-9501
Ana Laura Gonçalves,290.613.874-69,31/01/1975,48,Viela de Correia,85,Vila São Rafael,Viana das Pedras,39585-997,81 2572 3050
Carlos Eduardo das Neves,290.864.517-30,18/05/1996,27,Via Nicole da Cruz,43,Vera Cruz,Vieira do Oeste,5719135,71 5873 6283
Thomas Alves,291.750.463-34,15/03/1962,61,Pátio Campos,10,Gameleira,Nascimento,35369-076,71 9856-1803
Joana Almeida,293.476.501-61,04/07/1971,52,Estrada de Pereira,8,Inconfidência,Rodrigues,47267-773,+55 (031) 8650-9759
Alana Ramos,293.540.817-97,12/06/1992,31,Sítio Cunha,84,Pilar,Silva,47200723,71 0871-3067
Heitor Carvalho,294.701.568-11,24/11/1993,30,Esplanada Sales,91,Alípio De Melo,Araújo de Mendes,46150-701,+55 (041) 4219 5983
Dr. Luigi Fernandes,294.876.051-85,20/01/2002,21,Praça Leonardo Moraes,5,Camargos,Moraes de Nogueira,67090-872,11 8312-4745
João Lucas Barbosa,296.817.540-85,22/03/1997,26,Esplanada Camila Cardoso,24,São Jorge 2ª Seção,Nogueira,35643-265,(041) 4249 3450
Marina da Mata,301.649.782-40,05/12/1991,32,Rodovia Maitê Barros,19,Esperança,Carvalho do Norte,81545428,21 6411-2061
Enrico Barros,301.729.456-07,12/09/1999,24,Trecho Matheus Nascimento,62,Ademar Maldonado,da Luz,24112-556,+55 84 7895-0178
Pedro Henrique da Mata,301.845.762-53,29/02/1948,75,Área de Farias,14,Ambrosina,da Mota de Freitas,30136-819,(041) 2042-7527
Ana Vitória Rocha,305.214.796-06,21/07/1970,53,Passarela de da Mata,11,Vila Das Oliveiras,Pinto,53121875,(021) 0672-8596
Lucas Gabriel Ferreira,306.794.821-13,06/10/1988,35,Favela Felipe Castro,891,Estrela,Pires,46517317,31 6549-9979
Raquel Rezende,307.128.695-30,19/01/2001,22,Rodovia Gabriela da Luz,4,Saudade,Rocha,23629098,+55 (081) 4349 6886
Yasmin Ferreira,309.254.871-04,08/07/1958,65,Estrada Sofia Lopes,550,Santa Maria,Jesus Paulista,97005-781,(071) 3324 8741
Eduarda Costela,310.467.895-20,08/09/2004,19,Núcleo Alexia Moreira,676,Delta,Souza,99032-232,61 3196-4755
Natália Silva,310.854.269-98,24/05/2005,18,Área Maria Moraes,335,São José,Dias,95403-057,+55 (084) 3277 7467
Marcos Vinicius Martins,315.824.076-90,20/11/1977,46,Rua de Nogueira,5,Boa Vista,Fernandes,74019-981,(011) 4578-7611
Dr. Kevin Araújo,316.450.897-20,24/07/2005,18,Fazenda Cardoso,81,Barroca,Pereira Grande,71164-113,31 5512 6310
Srta. Ana Carolina Rodrigues,316.972.054-61,04/07/1947,76,Chácara Felipe da Cruz,98,Paraíso,Aragão do Campo,67086-471,(011) 8796 4766
Dra. Gabriela da Mata,317.896.205-03,10/11/1986,37,Vereda Ferreira,842,Floresta,da Mota,97442324,51 7454 9970
Srta. Joana Ferreira,318.509.672-02,03/07/1963,60,Rua Raquel Ferreira,72,Colégio Batista,Souza,97767-110,+55 (051) 9441 1861
Marcos Vinicius Pires,318.564.209-06,15/10/1992,31,Passarela Maria Alice Caldeira,52,Varzea Da Palma,Costa dos Dourados,57007051,(071) 9329 5178
Alexia Aragão,320.849.571-41,05/07/1947,76,Passarela Rodrigues,70,Leticia,Duarte de Minas,2150929,(021) 6805-8722
Maria Sophia Duarte,321.809.756-86,29/07/2004,19,Praça de Freitas,4,Vila Paris,Nascimento,57364808,+55 51 0501 5863
Ana Luiza Azevedo,325.709.618-68,25/02/1986,37,Área Ferreira,82,Caiçaras,Lopes,66621-339,(011) 2862 0825
Sra. Isabel Oliveira,325.807.461-53,20/12/1948,75,Lagoa da Paz,15,Providencia,Barros do Galho,50420-310,21 2418 6706
Bryan da Mata,325.871.609-95,08/04/1992,31,Recanto Ramos,32,Túnel De Ibirité,Moura Verde,76041-671,+55 81 9095 0632
João Guilherme Gonçalves,341.206.978-78,25/09/1962,61,Vereda Dias,1,Santa Monica,Mendes,39868572,+55 (084) 9927-3764
Helena Santos,342.086.915-06,21/03/2003,20,Praia de Teixeira,75,Madri,Ribeiro de Minas,66361708,(051) 7669 0102
Marina da Mata,342.698.507-10,14/10/1993,30,Lagoa Henrique Monteiro,87,Rio Branco,Cavalcanti,87735601,61 1703-7738
Camila Fogaça,346.812.750-26,19/04/1993,30,Fazenda de Costela,73,Vale Do Jatoba,da Rocha,82335952,+55 (011) 1995-1053
Dra. Milena da Paz,348.607.251-07,02/08/2003,20,Chácara Clara Almeida,85,Vila Aeroporto,Jesus,31694541,21 2655-0952
Maria Alice Moreira,350.126.487-90,01/06/1956,67,Loteamento Nina Moraes,75,Bernadete,Silva Paulista,58621624,(071) 7898 2850
Sr. Lorenzo da Mota,350.961.472-07,11/03/1976,47,Estrada Marcos Vinicius Rezende,778,Virgínia,Dias Verde,25724615,0800 725 1522
Gabrielly da Paz,354.701.968-01,18/05/1951,72,Favela Barbosa,32,Vila Nova Cachoeirinha 2ª Seção,Vieira Alegre,50248014,21 2201 2197
Lorenzo Melo,356.049.218-15,21/11/1957,66,Vale Leonardo Carvalho,68,Miramar,Rodrigues da Mata,58716203,84 8964 2366
Ana Sophia Nascimento,357.496.218-55,24/10/1950,73,Loteamento Carvalho,23,Dom Bosco,Gomes,37024-962,+55 31 9064 8434
Luiz Felipe Aragão,358.297.410-32,24/09/1994,29,Condomínio de da Luz,68,Nova Gameleira,Costela,97394-024,61 4405 9723
Maria Cecília da Mata,361.928.470-96,05/07/1990,33,Feira Araújo,94,Granja De Freitas,Martins de Fernandes,12820067,+55 (071) 3324-0143
Nicolas Nogueira,364.598.127-64,11/08/2005,18,Trecho de Rocha,400,Mirante,Farias do Oeste,19199863,(084) 0597-3847
Yuri da Luz,364.790.821-50,14/05/1997,26,Sítio Lima,32,Glória,da Luz,52202-839,61 2450-0433
Alana Nunes,367.194.825-64,29/09/1974,49,Jardim da Rosa,78,Xodo-Marize,da Mata de Moura,05111-610,+55 31 9127 3101
Maria Ribeiro,367.450.912-16,08/04/1953,70,Trecho Agatha Campos,53,Bandeirantes,Freitas,54110-141,0900 667 6950
Raul Dias,369.421.507-70,25/09/1970,53,Conjunto Fernanda Carvalho,80,Ribeiro De Abreu,Ferreira Verde,42264680,(051) 2906-6698
Yuri Cardoso,370.489.152-50,16/12/1997,26,Largo Laura Azevedo,741,Vila Petropolis,Moraes,98705-506,+55 (071) 8624-4027
Marcelo Duarte,371.604.258-71,09/08/1971,52,Colônia de Alves,7,Esplanada,Caldeira,78227-287,+55 (051) 2591 1446
Guilherme Azevedo,374.501.268-26,29/04/1962,61,Trecho Marcos Vinicius Cardoso,64,Manacas,Carvalho,32749-233,+55 (081) 7917-1640
Sr. João Lucas Cardoso,375.860.491-57,27/04/2001,22,Vila Matheus da Mota,7,Conjunto Serra Verde,da Mata,46267400,(021) 8041 4364
Eloah Teixeira,378.169.024-50,18/12/2002,21,Travessa Natália Duarte,92,Senhor Dos Passos,da Mata da Prata,76916806,41 3196 7918
Ana Laura Barbosa,379.805.162-30,06/09/1977,46,Praça Helena Cardoso,56,Suzana,Jesus,51470293,(061) 0553-1687
Fernanda Pires,380.617.942-50,09/08/1955,68,Distrito Luiza Carvalho,20,Nova Pampulha,Costa,52599-519,+55 84 7669 0430
Arthur Oliveira,381.520.467-44,19/05/1962,61,Aeroporto Sales,45,Vila União,Rocha Verde,52724-765,+55 (084) 4798-1837
Arthur Souza,382.459.170-79,13/04/1949,74,Fazenda de da Rosa,6,Bonfim,Jesus,37635918,+55 (041) 1157-7626
Theo Moraes,384.106.952-51,06/01/1953,70,Recanto Lima,48,Vila Canto Do Sabiá,Rocha da Serra,35996240,+55 71 2560 8117
Mirella Pinto,384.916.720-87,04/07/1983,40,Núcleo de das Neves,44,Cinquentenário,Pinto,47682909,+55 (061) 3553 7520
Juan da Costa,387.596.102-12,01/08/1945,78,Residencial Costela,35,Vila Da Paz,Castro das Flores,35871886,+55 21 9185-4075
Carolina Aragão,392.061.754-16,03/11/1953,70,Quadra Maria Julia Cavalcanti,6,Marieta 2ª Seção,Gonçalves,45438381,(084) 4387-2598
André Gomes,394.126.758-28,26/01/1954,69,Residencial Caroline Martins,74,Maria Virgínia,da Mota de Minas,13519248,0300-791-1380
Ian Cardoso,394.286.107-04,06/07/1954,69,Viaduto Monteiro,618,Vila Piratininga,da Costa Paulista,87169838,(041) 0409 2177
Maria Fernanda Correia,395.624.087-10,08/02/1966,57,Estrada de da Paz,807,Serra,Fogaça dos Dourados,51282-942,+55 (061) 6135-8097
Luiz Felipe da Rosa,397.046.582-65,25/11/1997,26,Praia de Lopes,2,Atila De Paiva,Martins,54314282,+55 81 8086-2478
Dr. Pedro Miguel Souza,397.615.028-21,13/03/1946,77,Passarela de Souza,596,Mirtes,da Mata do Oeste,84961172,71 3581 8569
Srta. Isadora Peixoto,398.605.742-00,19/09/2002,21,Ladeira de Moreira,11,Coração De Jesus,Pires do Oeste,57683-271,61 8876-8773
Vitória Vieira,398.615.240-70,04/11/1968,55,Chácara Luiz Otávio Pires,20,Vila Independencia 1ª Seção,da Paz do Norte,94926-324,+55 (071) 5256 5708
João Lucas Lima,403.917.256-61,25/01/1959,64,Morro de Moraes,3,Das Industrias I,Freitas da Praia,98090-724,+55 81 5133-5031
Isaac Duarte,406.857.912-11,18/11/1954,69,Viaduto Calebe Cardoso,916,Alto Das Antenas,Azevedo de Minas,03812-502,(051) 7689 8186
Davi Lucca Fernandes,413.698.270-40,06/06/1957,66,Ladeira de Costa,928,Santa Rosa,Carvalho,61810-389,0500 282 8240
